workload	image	run1_ms	run2_ms	run3_ms	run4_ms	run5_ms	run6_ms	run7_ms	run8_ms	run9_ms	run10_ms	min_ms	status
python3 -c print(42)	docker.io/library/python:3-slim	393	261	301	257	301	259	267	263	295	303	257	ok
perl -e print	docker.io/library/perl:5-slim	81	80	72	78	71	74	80	78	103	76	71	ok
ruby -e puts	docker.io/library/ruby:3-slim	851	668	595	730	767	576	629	632	618	699	576	ok
rpm -V bash	docker.io/library/fedora:latest	456	509	365	439	363	425	368	367	438	445	363	ok
rpm -qa | wc -l	docker.io/library/fedora:latest	527	645	574	665	629	541	518	546	536	523	518	ok
dpkg -l | wc -l	docker.io/library/ubuntu:latest	103	99	91	97	85	87	92	84	87	89	84	ok
pacman -Sy	docker.io/library/archlinux:latest	212	188	178	197	199	197	193	201	183	184	178	ok
dnf repoquery --installed	docker.io/library/fedora:latest	743	690	812	779	828	715	828	784	762	737	690	ok
gcc hello.c	docker.io/library/gcc:latest	583	573	628	544	536	530	598	612	554	609	530	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:latest	4546	4410	4949	4940	4880	4395	4285	4597	4312	4535	4285	ok
make hello	docker.io/library/gcc:latest	614	640	652	587	638	585	646	586	665	694	585	ok
django manage.py check	docker.io/library/python:3-slim	2528	1875	2363	1900	1896	1845	1804	1936	1935	1810	1804	ok
ansible localhost ping	docker.io/library/python:3-slim	8807	7506	6663	7160	7101	6775	7549	6738	7211	7339	6663	ok
mypy type-check	docker.io/library/python:3-slim	12390	1662	2096	2181	2214	1650	1662	1744	2129	1674	1650	ok
perl regex 10k	docker.io/library/perl:5-slim	132	106	104	133	128	108	130	104	108	115	104	ok
rustc compile hello	docker.io/library/rust:latest	437	395	605	415	493	425	1315	409	678	367	367	exit139
Rscript sum(1:1000)	docker.io/library/r-base:latest	1642	1394	1406	1376	1427	1412	1634	1495	1412	1431	1376	ok
java HelloWorld	docker.io/library/eclipse-temurin:latest	652	674	657	752	708	730	659	782	732	752	652	ok
node -e console.log(42)	docker.io/library/node:lts-slim	545	612	532	621	619	535	609	537	565	528	528	ok
dotnet --info	mcr.microsoft.com/dotnet/sdk:latest	2207	2134	2081	2074	1852	2099	1731	1763	1739	1957	1731	ok
