workload	image	run1_ms	run2_ms	run3_ms	run4_ms	run5_ms	run6_ms	run7_ms	run8_ms	run9_ms	run10_ms	min_ms	status
python3 -c print(42)	docker.io/library/python:3-slim	2002	1649	1271	112	109	110	113	328	109	113	109	ok
perl -e print	docker.io/library/perl:5-slim	1038	651	61	61	61	61	61	59	61	62	59	ok
ruby -e puts	docker.io/library/ruby:3-slim	3416	3177	216	208	210	204	205	212	211	218	204	ok
rpm -V bash	docker.io/library/fedora:latest	2435	2184	392	165	165	165	160	160	162	162	160	ok
rpm -qa | wc -l	docker.io/library/fedora:latest	2576	2254	224	223	228	228	229	226	222	228	222	ok
dpkg -l | wc -l	docker.io/library/ubuntu:latest	1226	836	263	67	67	67	66	67	67	68	66	ok
pacman -Sy	docker.io/library/archlinux:latest	1618	1305	434	106	108	107	107	105	105	106	105	ok
dnf repoquery --installed	docker.io/library/fedora:latest	3701	3978	664	281	283	284	280	285	283	289	280	ok
gcc hello.c	docker.io/library/gcc:latest	5123	8162	9496	11990	8394	9273	9726	8597	8292	8936	5123	exit4
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:latest	15524	28529	2534	2102	2080	2116	2079	2141	2077	2179	2077	ok
make hello	docker.io/library/gcc:latest	5950	9183	8664	12351	8934	8521	7975	8440	8994	9051	5950	exit2
django-admin startproject	docker.io/library/python:3-slim	4567	2984	1093	662	669	666	740	680	670	664	662	ok
ansible --version	docker.io/library/python:3-slim	5012	4410	1032	1024	1030	1033	1029	1030	1073	1034	1024	ok
mypy type-check	docker.io/library/python:3-slim	11422	10066	9249	1489	1079	1090	1083	1080	1078	1092	1078	exit2
perl regex 10k	docker.io/library/perl:5-slim	1379	1000	78	73	74	74	75	74	73	75	73	ok
cargo check	docker.io/library/rust:latest	19164	17066	14976	11284	14565	11315	11039	10976	11023	11074	10976	ok
Rscript sum(1:1000)	docker.io/library/r-base:latest	7271	6164	4154	4192	3668	3578	3211	3611	3230	3574	3211	ok
java HelloWorld	docker.io/library/eclipse-temurin:latest	5428	5401	4848	4898	4949	5371	5030	4973	4856	4860	4848	ok
node -e console.log(42)	docker.io/library/node:lts-slim	22419	23099	20499	22094	17568	17851	18942	18498	19071	18206	17568	exit132
dotnet --info	mcr.microsoft.com/dotnet/sdk:latest	10884	9156	7912	8300	8230	8506	8900	7981	8571	7947	7912	exit139
