workload	image	run1_ms	run2_ms	run3_ms	run4_ms	run5_ms	run6_ms	run7_ms	run8_ms	run9_ms	run10_ms	min_ms	status
python3 -c print(42)	docker.io/library/python:3-slim	268	291	231	43	43	43	45	44	42	42	42	ok
perl -e print	docker.io/library/perl:5-slim	142	117	18	18	19	18	18	18	19	19	18	ok
ruby -e puts	docker.io/library/ruby:3-slim	490	671	132	132	168	130	130	131	131	134	130	ok
rpm -V bash	docker.io/library/fedora:latest	372	441	87	87	125	88	91	88	87	88	87	ok
rpm -qa | wc -l	docker.io/library/fedora:latest	387	544	161	163	198	160	159	160	159	161	159	ok
dpkg -l | wc -l	docker.io/library/ubuntu:latest	162	149	24	56	23	24	24	23	24	24	23	ok
pacman -Sy	docker.io/library/archlinux:latest	251	320	106	51	49	51	51	50	52	51	49	ok
dnf repoquery --installed	docker.io/library/fedora:latest	533	846	151	149	152	149	149	149	146	148	146	ok
gcc hello.c	docker.io/library/gcc:latest	643	1194	266	203	203	201	199	202	235	207	199	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:latest	2088	4262	889	820	807	805	805	807	820	810	805	ok
make hello	docker.io/library/gcc:latest	669	1316	326	221	223	227	226	226	226	230	221	ok
django-admin startproject	docker.io/library/python:3-slim	1218	708	466	399	397	402	400	401	480	396	396	ok
ansible --version	docker.io/library/python:3-slim	1302	1119	635	637	640	679	685	648	646	646	635	ok
mypy type-check	docker.io/library/python:3-slim	3402	2451	2401	509	700	514	573	530	503	496	496	ok
perl regex 10k	docker.io/library/perl:5-slim	184	187	140	28	27	28	27	27	28	28	27	ok
cargo check	docker.io/library/rust:latest	2403	2165	1923	1300	1864	1264	1268	1290	1286	1280	1264	ok
Rscript sum(1:1000)	docker.io/library/r-base:latest	1085	1040	809	721	721	642	580	659	574	647	574	ok
java HelloWorld	docker.io/library/eclipse-temurin:latest	605	612	596	523	526	524	521	525	520	524	520	ok
node -e console.log(42)	docker.io/library/node:lts-slim	551	1149	497	465	1113	466	503	465	469	463	463	ok
dotnet --info	mcr.microsoft.com/dotnet/sdk:latest	1394	1756	545	804	578	554	559	550	538	570	538	ok
