workload	image	run1_ms	run2_ms	run3_ms	run4_ms	run5_ms	run6_ms	run7_ms	run8_ms	run9_ms	run10_ms	min_ms	status
python3 -c print(42)	docker.io/library/python:3-slim	615	400	452	419	609	497	477	390	436	423	390	ok
perl -e print	docker.io/library/perl:5-slim	86	71	71	72	75	77	75	78	72	68	68	ok
ruby -e puts	docker.io/library/ruby:3-slim	749	580	590	601	588	732	660	577	609	708	577	ok
rpm -V bash	docker.io/library/fedora:latest	540	397	403	432	478	411	412	421	420	516	397	ok
rpm -qa | wc -l	docker.io/library/fedora:latest	604	647	779	790	646	633	659	626	827	675	604	ok
dpkg -l | wc -l	docker.io/library/ubuntu:latest	152	140	144	131	328	269	213	218	170	158	131	ok
pacman -Sy	docker.io/library/archlinux:latest	273	219	211	192	192	206	195	209	186	211	186	ok
dnf repoquery --installed	docker.io/library/fedora:latest	758	683	683	669	784	677	683	685	774	688	669	ok
gcc hello.c	docker.io/library/gcc:latest	557	588	542	560	541	614	606	566	608	529	529	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:latest	4259	5028	4357	4372	4374	4389	5055	5102	4245	4203	4203	ok
make hello	docker.io/library/gcc:latest	650	572	595	567	621	650	604	670	653	591	567	ok
django manage.py check	docker.io/library/python:3-slim	2070	1787	1815	2253	1723	1761	1721	1706	1744	1744	1706	ok
ansible localhost ping	docker.io/library/python:3-slim	7179	7130	7163	7439	6605	7467	6931	7516	6994	6997	6605	ok
mypy type-check	docker.io/library/python:3-slim	12089	2106	1677	1654	2090	1647	2139	1611	1618	1697	1611	ok
perl regex 10k	docker.io/library/perl:5-slim	108	101	103	99	124	123	102	101	100	100	99	ok
rustc compile hello	docker.io/library/rust:latest	472	453	438	649	450	590	468	438	523	481	438	exit139
Rscript sum(1:1000)	docker.io/library/r-base:latest	1480	1336	1353	1335	1327	1337	1336	1318	1567	1395	1318	ok
java HelloWorld	docker.io/library/eclipse-temurin:latest	699	665	659	634	709	623	633	647	673	633	623	ok
node -e console.log(42)	docker.io/library/node:lts-slim	556	572	511	564	468	473	553	536	528	533	468	ok
dotnet --info	mcr.microsoft.com/dotnet/sdk:latest	1887	1698	1846	1994	1724	1908	1682	2047	2010	1684	1682	ok
