workload	image	run1_ms	run2_ms	run3_ms	run4_ms	run5_ms	run6_ms	run7_ms	run8_ms	run9_ms	run10_ms	min_ms	status
python3 -c print(42)	docker.io/library/python:3-slim	258	272	224	43	50	40	40	37	38	43	37	ok
perl -e print	docker.io/library/perl:5-slim	135	108	68	15	17	17	20	17	15	15	15	ok
ruby -e puts	docker.io/library/ruby:3-slim	444	613	115	123	112	112	109	113	111	112	109	ok
rpm -V bash	docker.io/library/fedora:latest	327	433	80	116	81	79	85	81	80	79	79	ok
rpm -qa | wc -l	docker.io/library/fedora:latest	375	481	143	179	146	144	142	144	142	143	142	ok
dpkg -l | wc -l	docker.io/library/ubuntu:latest	167	140	20	19	21	25	20	19	20	20	19	ok
pacman -Sy	docker.io/library/archlinux:latest	233	285	97	44	82	46	44	45	44	44	44	ok
dnf repoquery --installed	docker.io/library/fedora:latest	497	842	130	127	134	132	129	129	126	128	126	ok
gcc hello.c	docker.io/library/gcc:latest	618	1240	267	191	192	185	186	201	192	189	185	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:latest	2138	4388	910	804	797	808	801	792	793	797	792	ok
make hello	docker.io/library/gcc:latest	667	1298	278	207	204	229	207	206	220	208	204	ok
django manage.py check	docker.io/library/python:3-slim	900	898	479	545	442	447	443	493	444	446	442	ok
ansible localhost ping	docker.io/library/python:3-slim	2862	2515	1994	1985	1883	1566	1557	1634	1569	1859	1557	ok
mypy type-check	docker.io/library/python:3-slim	3215	2053	2012	393	460	407	389	402	401	418	389	ok
perl regex 10k	docker.io/library/perl:5-slim	170	170	23	21	22	128	22	21	23	23	21	ok
rustc compile hello	docker.io/library/rust:latest	1929	2164	1650	1423	1364	1358	1413	1362	1363	1359	1358	ok
Rscript sum(1:1000)	docker.io/library/r-base:latest	1114	1036	735	726	665	661	592	645	581	649	581	ok
java HelloWorld	docker.io/library/eclipse-temurin:latest	586	603	508	511	551	539	505	506	508	508	505	ok
node -e console.log(42)	docker.io/library/node:lts-slim	559	1217	460	444	457	528	454	448	450	445	444	ok
dotnet --info	mcr.microsoft.com/dotnet/sdk:latest	1498	1702	506	710	736	508	523	743	562	499	499	ok
