workload	image	run1_ms	run2_ms	run3_ms	run4_ms	run5_ms	run6_ms	run7_ms	run8_ms	run9_ms	run10_ms	min_ms	status
python3 -c print(42)	docker.io/library/python:3-slim	305	289	275	38	36	40	40	35	38	40	35	ok
perl -e print	docker.io/library/perl:5-slim	137	136	16	16	71	15	14	15	16	17	14	ok
ruby -e puts	docker.io/library/ruby:3-slim	459	603	109	114	107	108	112	115	105	120	105	ok
rpm -V bash	docker.io/library/fedora:latest	366	442	86	77	117	79	77	81	77	76	76	ok
rpm -qa | wc -l	docker.io/library/fedora:latest	379	474	142	145	145	142	142	186	141	139	139	ok
dpkg -l | wc -l	docker.io/library/ubuntu:latest	163	143	51	21	21	20	20	21	19	20	19	ok
pacman -Q | wc -l	docker.io/library/archlinux:latest	197	247	35	36	37	37	36	36	36	37	35	ok
dnf repoquery --installed	docker.io/library/fedora:latest	520	815	129	124	122	125	123	123	171	127	122	ok
gcc hello.c	docker.io/library/gcc:latest	609	1232	266	192	181	184	187	191	190	188	181	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:latest	2088	4414	811	714	702	748	690	708	728	735	690	ok
make hello	docker.io/library/gcc:latest	634	1244	277	203	244	208	197	202	205	195	195	ok
django manage.py check	docker.io/library/python:3-slim	862	868	459	458	442	477	474	464	470	460	442	ok
ansible localhost ping	docker.io/library/python:3-slim	2747	2419	1939	1949	1840	1826	1493	1471	1477	1497	1471	ok
mypy type-check	docker.io/library/python:3-slim	3253	2044	1922	396	400	373	368	357	367	368	357	ok
perl regex 10k	docker.io/library/perl:5-slim	167	169	23	24	24	23	23	22	23	23	22	ok
rustc compile hello	docker.io/library/rust:latest	1893	2111	1594	1441	1301	1364	1319	1311	1399	1319	1301	ok
Rscript sum(1:1000)	docker.io/library/r-base:latest	1126	1045	739	781	651	653	599	655	647	650	599	ok
java HelloWorld	docker.io/library/eclipse-temurin:latest	588	590	509	505	507	557	509	508	507	507	505	ok
node -e console.log(42)	docker.io/library/node:lts-slim	519	1097	1056	429	428	425	427	424	427	427	424	ok
dotnet --info	mcr.microsoft.com/dotnet/sdk:latest	1290	1651	477	724	476	524	465	473	514	476	465	ok
