workload	image	run1_ms	run2_ms	run3_ms	median_ms	status
python3 -c print(42)	docker.io/library/python:3.12	469	293	121	293	ok
g++ --version	docker.io/library/gcc:14-bookworm	238	55	55	55	ok
perl -e print	docker.io/library/perl:5	219	61	374	219	ok
dpkg -l | wc -l	docker.io/library/ubuntu:24.04	302	71	71	71	ok
rpm -V bash	docker.io/library/fedora:42	413	157	155	157	ok
ruby -e puts	docker.io/library/ruby:3.3	436	209	211	211	ok
grep --version	docker.io/library/fedora:42	231	50	51	51	ok
python3 (fedora)	docker.io/library/fedora:42	215	57	56	57	exit127
go vet	docker.io/library/golang:1.23	927	1305	716	927	ok
psql --version	docker.io/library/debian:bookworm	266	221	244	244	ok
pacman -Sy	docker.io/library/archlinux	400	108	108	108	ok
file /usr/bin/bash	docker.io/library/fedora:42	213	58	169	169	exit127
rpm -qa | wc -l	docker.io/library/fedora:42	473	430	216	430	ok
git --version	docker.io/library/fedora:42	216	58	58	58	exit127
go env GOROOT	docker.io/library/golang:1.23	916	151	720	720	exit2
cmake configure	docker.io/library/gcc:14-bookworm	5921	2568	2407	2568	ok
django-admin --version	docker.io/library/python:3.12	968	456	457	457	ok
cmake --version	docker.io/library/fedora:42	220	59	57	59	exit127
php -r echo	docker.io/library/php:8.3	495	272	271	272	ok
bash --version	docker.io/library/fedora:42	243	71	114	114	ok
perl regex 10k	docker.io/library/perl:5	364	73	73	73	ok
cargo --version	docker.io/library/rust:1.83	1145	167	169	169	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:14-bookworm	1414	1142	1158	1158	exit1
yum --version	registry.access.redhat.com/ubi9/ubi	827	399	406	406	ok
g++ -O2 hello.cpp	docker.io/library/gcc:14-bookworm	943	700	699	700	exit1
ruff --version	docker.io/library/python:3.12	265	67	68	68	ok
dnf --version	docker.io/library/fedora:42	467	206	204	206	ok
ansible --version	docker.io/library/python:3.12	1519	1009	1003	1009	ok
gcc hello.c	docker.io/library/gcc:14-bookworm	884	638	772	772	ok
valgrind --version	docker.io/library/debian:bookworm	701	85	85	85	ok
rustc --version	docker.io/library/rust:1.83	1647	671	687	687	ok
mypy --version	docker.io/library/python:3.12	950	582	946	946	ok
java -version	docker.io/library/eclipse-temurin:21-jdk-jammy	4293	3927	3960	3960	ok
javac -version	docker.io/library/eclipse-temurin:21-jdk-jammy	6838	6954	6475	6838	ok
dotnet --version	mcr.microsoft.com/dotnet/sdk:8.0	8573	8902	7255	8573	exit139
npm --version	docker.io/library/node:22-slim	16820	15960	15214	15960	exit132
clang --version	docker.io/silkeh/clang:18-bookworm	1865	1678	1674	1678	ok
Rscript hello	docker.io/library/r-base:4.4.1	4309	3977	3461	3977	ok
ghc --version	docker.io/library/haskell:9.8-slim	12749	153	351	351	exit139
